Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,59.000000,63.439999,58.750000,60.160000,60.160000,112518200
2021-04-12,60.200001,60.290001,57.889999,58.709999,58.709999,67748700
2021-04-19,58.570000,58.740002,54.709999,57.529999,57.529999,77272800
2021-04-26,57.860001,59.099998,55.689999,57.220001,57.220001,67996500
2021-05-03,57.599998,59.049999,54.820000,58.990002,58.990002,96241500
2021-05-10,59.000000,59.580002,53.520000,56.000000,56.000000,81335100
2021-05-17,55.840000,58.779999,54.119999,56.720001,56.720001,60854000
2021-05-24,57.049999,60.720001,56.320000,59.310001,59.310001,86059800
2021-05-31,59.990002,63.880001,59.130001,63.369999,63.369999,82024500
2021-06-07,63.980000,64.300003,61.160000,61.490002,61.490002,69295100
2021-06-14,61.470001,63.090000,58.410000,58.759998,58.759998,102575200
2021-06-21,59.750000,60.580002,58.820000,60.299999,60.299999,61433700
2021-06-28,60.310001,60.380001,58.430000,58.959999,58.959999,63096800
2021-07-05,58.919998,58.930000,54.860001,58.759998,58.759998,67681900
2021-07-12,58.560001,59.360001,55.369999,55.459999,55.459999,67352700
2021-07-19,53.900002,57.470001,52.630001,54.939999,54.939999,71825200
2021-07-26,55.240002,57.810001,54.220001,56.840000,56.840000,62137600
2021-08-02,57.369999,58.599998,52.209999,55.049999,55.049999,135879700
2021-08-09,54.270000,55.040001,53.400002,53.650002,53.650002,68983800
2021-08-16,53.009998,53.259998,48.349998,48.799999,48.799999,101053900
2021-08-23,48.160000,50.070000,47.070000,49.799999,49.799999,97424000
2021-08-30,49.950001,49.950001,48.419998,48.820000,48.820000,62266000
2021-09-06,48.490002,50.419998,47.799999,49.490002,49.490002,59960400
2021-09-13,50.110001,51.930000,49.599998,51.330002,51.330002,102485300
2021-09-20,49.450001,52.630001,48.369999,52.230000,52.230000,78438300
2021-09-27,52.410000,54.209999,52.180000,53.130001,53.130001,74150100
2021-10-04,54.900002,59.209999,53.150002,58.570000,58.570000,141659900
2021-10-11,58.790001,59.349998,57.080002,58.000000,58.000000,77939200
2021-10-18,57.410000,58.700001,56.220001,57.770000,57.770000,59319800
2021-10-25,58.049999,58.310001,53.610001,54.430000,54.430000,106585400
2021-11-01,54.849998,59.349998,54.419998,58.520000,58.520000,86802800
2021-11-08,58.759998,64.029999,57.730000,63.400002,63.400002,111173300
2021-11-15,63.660000,65.180000,61.560001,61.799999,61.799999,103299200
2021-11-22,61.950001,64.959999,59.459999,60.169998,60.169998,62018900
2021-11-29,61.110001,61.689999,57.439999,59.709999,59.709999,107630200
2021-12-06,60.470001,63.290001,58.700001,63.209999,63.209999,76672600
2021-12-13,62.070000,62.180000,54.509998,55.160000,55.160000,119675300
2021-12-20,54.020000,57.090000,53.139999,56.910000,56.910000,65061500
2021-12-27,56.889999,59.049999,56.529999,58.630001,58.630001,47461100
2022-01-03,59.869999,67.209999,59.740002,62.270000,62.270000,147037200
2022-01-10,61.520000,63.380001,59.639999,61.099998,61.099998,91122500
2022-01-17,60.130001,60.349998,52.689999,53.279999,53.279999,86122000
2022-01-24,51.400002,53.990002,49.240002,50.240002,50.240002,126360600
2022-01-31,50.500000,55.549999,49.970001,51.290001,51.290001,124343200
2022-02-07,51.490002,52.000000,47.580002,48.830002,48.830002,118168400
2022-02-14,48.869999,50.570000,47.919998,48.599998,48.599998,76752500
2022-02-21,47.779999,48.299999,43.910000,47.430000,47.430000,67756800
2022-02-28,46.240002,47.119999,41.990002,42.400002,42.400002,104258300
2022-03-07,42.290001,42.860001,39.750000,41.509998,41.509998,103003300
2022-03-14,41.740002,45.040001,40.369999,44.820000,44.820000,85704600
2022-03-21,44.279999,45.270000,43.220001,43.650002,43.650002,69206600
2022-03-28,43.900002,46.740002,42.410000,42.959999,42.959999,75892300
2022-04-01,44.160000,44.450001,42.410000,42.959999,42.959999,16738820
